name, date
EM_COY_2015_015982, 2015.30
G3676, 2014.40
EM_COY_2015_015980, 2015.30
G3670, 2014.40
CON-10590, 2015.61
NM042, 2014.42
EM_079497, 2014.26
2507_C2_10080_EMLK, 2015.06
G3677, 2014.40
LIBR10180, 2014.77
KG12, 2015.40
G3770, 2014.44
Makona-G5114.1, 2014.63
EM_COY_2015_023747, 2015.69
EM_FORE_2015_1023, 2015.49
J0170, 2014.86
EM_FORE_2015_1437, 2015.53
NZG_0422, 2016.25
EM_079429, 2014.25
2507_C2_10123_EMLK, 2015.07
Makona-G4419.1, 2014.54
NZG_0358, 2016.22
EM_079422, 2014.23
EM_079423, 2014.23
EM_079421, 2014.24
EM_079775, 2014.39
REDC_GUI_2015_01165, 2015.63
DML12120, 2015.16
CON-8811, 2015.48
1708_C2_MK2656R2, 2015.17
1507_C1_18706_EMLH, 2015.53
Makona-G5112.1, 2014.63
EM_076403, 2014.82
0507_C2_MK0664, 2014.99
Makona-G4416.1, 2014.54
EM_000501, 2014.70
EM_COY_2015_016449, 2015.36
G3682, 2014.40
EM_COY_2015_015972, 2015.30
1807_C2_14795_EMLK, 2015.31
REDC_GUI_2015_01408, 2015.67
EM_080253, 2014.52
J0076, 2014.79
V633, 2014.61
EM_000218, 2014.68
LIBR10202, 2014.65
Makona-G4423.1, 2014.54
EM111, 2014.42
EM110, 2014.42
LIBR10035, 2014.62
V20143415, 2014.83
0809_C1_19560_EMLK_E, 2015.68
3004_C1_KT5974, 2015.20
EM_FORE_2015_1313, 2015.52
0807_C1_14750_EMLK, 2015.30
0806_C1_PL7376, 2015.40
1507_C2_15674_EMLK, 2015.49
3004_C2_KT5382, 2015.15
EM_079405, 2014.24
EM_004192, 2014.97
J0019, 2014.73
1807_C2_14830_EMLK, 2015.32
EM_079408, 2014.24
EM_000934, 2014.74
EM_076322, 2014.80
Makona-G4415.1, 2014.54
EM_078608, 2014.92
2607_C2_12781_EMLH, 2015.26
J0124, 2014.84
EM_079587, 2014.30
1805_C1_MK2724, 2015.17
2507_C1_77795_EMLK, 2015.04
0507_C1_PL4283, 2015.17
NZG_0393, 2016.24
LIBR10217, 2014.74
J0056, 2014.77
1507_C1_18650_EMLH, 2015.52
J0053, 2014.76
LIBR0430, 2014.92
Makona-G4942.1, 2014.61
REDC_GUI_2015_02242, 2015.81
IPDPFHGINSP_GUI_2015_5117, 2015.25
2607_C2_12855_EMLH, 2015.28
0806_C1_KT4715, 2015.10
Combined_PL9192, 2015.53
1807_C2_14846_EMLK, 2015.32
J0123, 2014.83
EM_FORE_2015_2878, 2015.81
G3735, 2014.43
G3734, 2014.43
Makona-G4422.1, 2014.54
LIBR10017, 2014.63
EM_FORE_2015-1971, 2015.62
1009_C1_20525_EMLK, 2015.68
EM_COY_2015_014100, 2015.23
EM_FORE_2015_1076, 2015.50
1807_C1_15327_EMLK, 2015.43
Makona-G4348.1, 2014.52
Makona-G4702.1, 2014.59
3004_C1_KT5858, 2015.19
2507_C1_77767_EMLK, 2015.04
EM_079815, 2014.40
Makona-G3972.1, 2014.48
V20140024, 2014.63
Makona-G4437.1, 2014.55
0106_C2_KT2316, 2014.92
1708_C1_12705_EMLH, 2015.24
2208_C2_18659R_EMLH, 2015.52
EM_004437, 2015.01
1209_C1_20573_EMLK, 2015.69
EM_080213, 2014.50
V768, 2014.65
1805_C1_MK2255, 2015.14
REDC-GUI-2015-00502, 2015.53
EM_074548, 2014.60
0305_C2_PL4570, 2015.19
EM_074461, 2014.59
2507_C2_10353_EMLK, 2015.10
