dataset,mode,label,grid_size,tail_max_grid_growth,tail_rel_floor,repeats,tolerance,nodes,missing,max_abs_diff,mean_abs_diff,median_abs_diff,p95_abs_diff,rms_abs_diff,worst_node,nodes_over_tol,time_min_s,time_median_s
flu_h3n2_20,marginal_dense,n300_E1_F1e-10,300,1,1e-10,3,1e-6,37,0,0.899037709214781,0.030845778607192335,0.0000004999999418942025,0.04150826569093624,0.14851950578366818,NODE_0000017,18,0.441943577,0.4513504
flu_h3n2_20,marginal_dense,n300_E2_F1e-10,300,2,1e-10,3,1e-6,37,0,0.8986270700847854,0.030123035609492307,0.0000004999999418942025,0.04010733664017607,0.14834037256933783,NODE_0000017,18,0.559425562,0.566884655
flu_h3n2_20,marginal_dense,n300_E5_F1e-10,300,5,1e-10,3,1e-6,37,0,0.8807660342720283,0.029715445713187315,0.0000004999999418942025,0.037244673789700755,0.14544924100224094,NODE_0000017,18,0.677712484,0.697224998
flu_h3n2_20,marginal_dense,n300_E10_F1e-10,300,10,1e-10,3,1e-6,37,0,0.8807660342720283,0.029715445713187315,0.0000004999999418942025,0.037244673789700755,0.14544924100224094,NODE_0000017,18,0.673398876,0.67678746
flu_h3n2_20,marginal_dense,n300_E20_F1e-10,300,20,1e-10,3,1e-6,37,0,0.8807660342720283,0.029715445713187315,0.0000004999999418942025,0.037244673789700755,0.14544924100224094,NODE_0000017,18,0.676709235,0.677370646
flu_h3n2_20,marginal_dense,n150_E10_F1e-10,150,10,1e-10,3,1e-6,37,0,0.9079796961111697,0.031357267040479,0.0000004999999418942025,0.05207978192856899,0.1500310476351142,NODE_0000017,18,0.256805794,0.25815178
flu_h3n2_20,marginal_dense,n600_E10_F1e-10,600,10,1e-10,3,1e-6,37,0,0.8934183009237131,0.029421802376037778,0.0000004999999418942025,0.04005022559658755,0.1474234177158181,NODE_0000017,18,1.992856523,2.008382007
flu_h3n2_20,marginal_dense,n1000_E10_F1e-10,1000,10,1e-10,3,1e-6,37,0,0.8909311838315261,0.02962347846998971,0.0000004999999418942025,0.043311524746513896,0.14702973372383354,NODE_0000017,18,4.790276306,4.815801404
flu_h3n2_20,marginal_dense,n2000_E10_F1e-10,2000,10,1e-10,3,1e-6,37,0,0.890884929514641,0.029582328356625383,0.0000004999999418942025,0.04412991408730704,0.1470254471281974,NODE_0000017,18,16.826147582,16.930574103
flu_h3n2_20,marginal_dense,n3000_E10_F1e-10,3000,10,1e-10,3,1e-6,37,0,0.893873298812423,0.029664747110915858,0.0000004999999418942025,0.04437051872241682,0.14751656876981079,NODE_0000017,18,35.988742898,36.032814541
flu_h3n2_20,marginal_dense,n300_E10_F1e-4,300,10,1e-4,3,1e-6,37,0,0.9155544107568403,0.030184511072744696,0.0000004999999418942025,0.037681544461293015,0.15097798441724095,NODE_0000017,18,0.458626613,0.458883893
flu_h3n2_20,marginal_dense,n300_E10_F1e-300,300,10,1e-300,3,1e-6,37,0,0.8947414751146425,0.029818058247244424,0.0000004999999418942025,0.040295272159710294,0.14763019403626007,NODE_0000017,18,10.536461323,10.565366005
