dataset,mode,label,grid_size,peak_extent_multiple,max_branch_length,tail_max_grid_growth,tail_rel_floor,repeats,tolerance,nodes,missing,max_abs_diff,mean_abs_diff,median_abs_diff,p95_abs_diff,rms_abs_diff,worst_node,nodes_over_tol,time_min_s,time_median_s
flu_h3n2_20,marginal_dense,decay_off,300,5,5,1,1e-10,3,1e-6,37,0,0.899037709214781,0.030845778607192335,0.0000004999999418942025,0.04150826569093624,0.14851950578366818,NODE_0000017,18,0.447136886,0.448780264
flu_h3n2_20,marginal_dense,decay_extrapolated,300,5,5,10,1e-10,3,1e-6,37,0,0.8807660342720283,0.029715445713187315,0.0000004999999418942025,0.037244673789700755,0.14544924100224094,NODE_0000017,18,0.676347034,0.679889676
flu_h3n2_20,marginal_dense,decay_real,3000,50,50,1,1e-10,3,1e-6,37,0,0.8985816447616344,0.029751657049442853,0.0000004999999418942025,0.04338429637914487,0.14830994542063733,NODE_0000017,18,21.275148392,21.299847174
